NO_OF_FRAMES	12000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 14:41:23
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
-38.264	-62.605	121.064
-43.774	-62.243	53.196
-52.170	-72.543	-9.035
-59.911	-74.452	-79.017
-59.404	-73.454	-152.293
-55.517	-65.031	-218.398
-56.402	-66.984	-286.647
-50.843	-62.339	-353.355
-46.807	-51.798	-409.959
-42.115	-38.701	-464.923
-36.185	-26.643	-519.258
-31.626	-18.215	-567.552
-27.222	-0.778	-610.277
-20.683	25.800	-648.397
-9.596	56.591	-684.961
-7.466	72.477	-716.050
-3.449	59.051	-745.765
8.885	54.298	-768.848
22.355	63.335	-789.492
34.701	59.764	-817.711
44.472	37.452	-849.526
51.425	12.180	-883.139
48.503	-20.331	-909.778
45.161	-58.363	-935.857
51.114	-84.094	-958.879
45.255	-119.112	-970.119
32.054	-147.826	-964.919
23.497	-149.208	-947.254
26.966	-141.463	-920.020
16.609	-119.616	-890.318
-10.239	-85.409	-852.489
-17.650	-51.324	-804.556
-13.892	-10.656	-753.977
-6.533	17.916	-709.562
5.749	28.593	-670.567
24.826	30.469	-623.827
43.078	29.401	-579.482
53.630	34.803	-534.905
61.453	37.968	-485.607
66.982	35.416	-430.595
69.772	28.856	-374.438
77.555	19.045	-323.704
76.604	0.041	-269.723
76.871	-29.024	-224.316
76.654	-62.836	-179.089
69.596	-91.051	-128.890
65.614	-111.811	-77.250
60.394	-121.931	-14.365
52.797	-119.767	57.915
40.779	-100.128	128.109
29.269	-63.805	203.627
15.475	-19.911	281.115
1.222	21.807	361.381
-7.315	59.908	433.722
-3.306	88.846	496.071
16.899	100.742	564.573
39.243	100.912	611.713
62.445	89.654	652.957
83.298	64.879	685.113
98.470	38.055	710.069
106.054	22.876	741.532
103.356	13.162	768.353
90.922	-6.098	789.217
71.758	-42.563	803.595
57.542	-59.282	821.700
46.784	-55.600	842.321
32.114	-55.541	859.862
17.806	-50.556	876.066
3.366	-38.986	888.764
-9.712	-27.312	897.092
-14.446	-17.087	905.665
-17.239	-2.257	903.265
-19.876	15.979	897.935
-20.816	35.816	890.440
-21.921	55.108	878.091
-21.738	83.314	865.009
-19.755	99.973	840.299
-18.200	77.826	816.038
-8.707	75.220	784.931
4.635	94.095	746.005
19.687	94.825	704.685
36.911	87.207	652.195
50.306	83.579	596.984
62.579	78.369	536.905
65.935	64.779	471.104
69.479	51.465	400.284
68.417	37.709	325.285
54.053	27.382	250.878
42.765	11.509	173.012
25.570	-2.361	97.638
7.268	-9.973	24.990
0.904	-14.940	-47.078
-6.664	-13.963	-115.055
-14.900	-12.548	-183.257
-18.047	-6.378	-254.508
-22.189	-0.807	-318.780
-36.956	-11.994	-376.636
-47.505	-16.468	-428.688
-45.753	-5.860	-477.983
-51.498	4.645	-530.077
-62.014	11.044	-578.402
-79.254	19.801	-615.799
-98.902	30.285	-655.914
-107.388	37.410	-692.284
-115.136	45.050	-724.427
-128.951	34.364	-753.371
-126.469	36.185	-771.202
-102.333	56.276	-795.265
-69.619	59.590	-824.605
-39.043	56.522	-842.019
-19.502	57.321	-862.658
8.423	54.017	-887.892
33.523	47.919	-900.047
48.127	42.287	-910.548
56.586	30.249	-917.424
49.216	18.107	-911.471
31.678	8.709	-902.383
10.548	-10.640	-894.078
-21.044	-32.649	-874.520
-68.439	-67.305	-852.274
-97.484	-86.218	-823.778
-97.555	-75.865	-784.187
-106.838	-67.894	-740.340
-110.999	-54.883	-694.261
-96.548	-41.194	-643.162
-89.677	-22.982	-584.454
-87.781	0.772	-528.223
-81.207	18.597	-471.116
-68.916	27.615	-412.789
-51.650	33.218	-357.602
-42.475	35.160	-297.495
-27.228	34.911	-237.424
5.295	33.360	-186.554
24.080	16.188	-135.529
25.902	-19.462	-86.705
29.799	-45.956	-38.396
35.225	-58.612	14.735
23.196	-70.524	74.207
-2.364	-81.375	136.384
-32.065	-89.653	201.238
-66.405	-92.042	269.820
-97.764	-87.016	339.459
-114.960	-70.533	410.439
-119.256	-57.959	476.910
-110.199	-40.761	540.331
-80.815	-22.301	593.861
-56.107	-17.499	647.522
-29.488	-6.035	687.554
5.200	9.873	717.255
26.751	12.392	754.807
48.618	2.457	782.606
62.092	-1.807	803.711
59.886	-4.822	828.883
62.085	-15.492	849.283
59.578	-29.197	861.468
44.849	-39.369	873.059
28.862	-44.601	887.746
18.476	-54.166	894.403
10.686	-63.193	891.435
-0.817	-66.789	889.556
-9.135	-70.822	885.161
-17.664	-70.205	872.463
-33.548	-71.197	855.539
-42.078	-76.713	838.398
-42.139	-71.876	814.750
-45.785	-60.496	791.014
-39.818	-49.562	767.677
-22.283	-35.714	735.951
-4.796	-24.755	697.290
8.255	-21.237	656.295
26.586	-5.938	614.245
49.251	13.562	564.088
72.727	20.859	503.757
94.754	30.368	449.601
96.980	36.914	401.928
100.358	42.650	349.883
108.465	44.430	285.236
103.201	38.994	210.228
88.539	33.633	133.198
74.604	24.689	52.950
77.378	13.451	-27.418
77.761	3.180	-101.607
60.410	-5.305	-175.665
48.352	-13.061	-250.107
44.185	-17.310	-319.014
44.291	-24.242	-382.238
37.319	-31.027	-440.648
23.404	-31.746	-492.613
9.455	-40.197	-540.830
-1.107	-46.510	-591.194
-16.166	-50.681	-639.051
-26.528	-51.598	-681.155
-34.028	-43.860	-718.716
-43.497	-37.231	-751.265
-43.461	-29.829	-782.262
-43.836	-20.275	-808.623
-32.881	-15.096	-829.529
-4.997	-1.885	-854.640
19.280	12.762	-873.432
43.872	15.024	-885.594
76.928	33.099	-896.528
102.806	58.469	-897.399
117.726	72.932	-891.305
119.285	90.977	-883.012
115.970	101.667	-868.415
105.444	109.154	-848.517
